Files	Type	qPCR_experiment	qPCR_run	annotation_status	annotation_reason
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_140621_02 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_140621_02.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_160621 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_160621 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_160621.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_160621_02 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_160621_02 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_160621_02.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_170621 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_170621 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_210521 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_210521 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_210521 - Abs Quant_chosen curves.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_210521 - Abs Quant_chosen curves.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_210521.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_230621 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_230621 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_230621.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_240621 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_240621 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_240621.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_250621 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_250621 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_250621.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_280621 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_280621 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_280621.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_280621_02 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_280621_02 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_280621_02.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_290621.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
